2, 10, 8, 9, 8, 8, 0
3, 10, 8, 8, 8, 7, 0
4, 10, 7, 7, 4, 5, 0
5, 10, 6, 6, 6, 7, 1
6, 10, 7, 7, 6, 7, 2
7, 10, 8, 4, 2, 7, 5
8, 10, 9, 8, 9, 8, 15
2, 50, 28, 28, 17, 28, 0
3, 50, 47, 47, 34, 46, 0
4, 50, 41, 41, 22, 42, 0
5, 50, 42, 42, 15, 43, 1
6, 50, 43, 48, 32, 48, 3
7, 50, 31, 37, 29, 32, 7
8, 50, 42, 44, 24, 40, 20
2, 100, 94, 79, 94, 86, 0
3, 100, 89, 89, 71, 90, 0
4, 100, 85, 88, 61, 83, 0
5, 100, 75, 76, 62, 59, 1
6, 100, 94, 97, 40, 94, 3
7, 100, 84, 84, 60, 83, 8
8, 100, 75, 86, 49, 80, 26
2, 500, 375, 375, 252, 329, 0
3, 500, 318, 355, 251, 308, 0
4, 500, 335, 396, 335, 356, 0
5, 500, 386, 419, 386, 402, 2
6, 500, 410, 430, 367, 397, 6
7, 500, 463, 500, 463, 500, 20
8, 500, 391, 427, 327, 392, 80
2, 10, 8, 8, 8, 10, 0
3, 10, 6, 7, 6, 8, 0
4, 10, 7, 7, 6, 5, 0
5, 10, 7, 7, 6, 6, 0
6, 10, 7, 8, 5, 7, 2
7, 10, 5, 6, 5, 6, 6
8, 10, 7, 8, 9, 8, 17
2, 50, 34, 34, 26, 25, 0
3, 50, 39, 41, 39, 38, 0
4, 50, 42, 40, 42, 40, 0
5, 50, 36, 34, 36, 38, 1
6, 50, 50, 50, 50, 50, 2
7, 50, 39, 47, 22, 47, 6
8, 50, 36, 29, 32, 39, 20
2, 100, 100, 100, 0, 100, 0
3, 100, 92, 92, 92, 91, 0
4, 100, 58, 83, 58, 71, 0
5, 100, 78, 82, 50, 78, 1
6, 100, 81, 87, 58, 78, 3
7, 100, 82, 81, 82, 84, 7
8, 100, 77, 95, 42, 91, 26
2, 500, 460, 460, 460, 450, 0
3, 500, 453, 470, 453, 467, 0
4, 500, 374, 374, 313, 320, 0
5, 500, 329, 396, 329, 357, 2
6, 500, 387, 397, 341, 365, 6
7, 500, 387, 423, 387, 407, 21
8, 500, 424, 460, 424, 448, 76
2, 10, 8, 6, 8, 6, 0
3, 10, 7, 6, 7, 9, 0
4, 10, 9, 9, 9, 9, 0
5, 10, 10, 10, 5, 10, 1
6, 10, 6, 6, 6, 8, 2
7, 10, 5, 8, 4, 8, 5
8, 10, 7, 9, 6, 9, 15
2, 50, 45, 50, 45, 50, 0
3, 50, 44, 44, 44, 43, 0
4, 50, 41, 44, 41, 37, 0
5, 50, 34, 35, 30, 35, 1
6, 50, 38, 45, 31, 45, 2
7, 50, 36, 43, 27, 36, 7
8, 50, 35, 36, 27, 37, 20
2, 100, 66, 71, 66, 58, 0
3, 100, 79, 79, 54, 70, 0
4, 100, 90, 90, 90, 95, 0
5, 100, 74, 74, 74, 59, 1
6, 100, 78, 87, 78, 85, 4
